SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN
100002,1,F,N,Y,0
100003,0,F,N,N,0
100004,0,F,Y,Y,0
100006,0,F,N,Y,0
100007,0,F,N,Y,0
100008,0,F,N,Y,0
100009,0,F,Y,Y,1
100010,0,M,Y,Y,0
100011,0,M,N,Y,0
100012,0,F,N,Y,0
100014,0,F,N,Y,1
100015,0,F,N,Y,0
100016,0,F,N,Y,0
100017,0,M,Y,N,1
100018,0,F,N,Y,0
100019,0,F,Y,Y,0
100020,0,F,N,N,0
100021,0,M,N,Y,1
100022,0,F,N,Y,0
100023,0,M,N,Y,1
100025,0,F,Y,Y,1
100026,0,F,N,N,1
100027,0,F,N,Y,0
100029,0,F,Y,N,2
100030,0,F,N,Y,0
100032,0,M,N,Y,1
100033,0,F,Y,Y,0
100034,0,F,N,Y,0
100035,0,F,N,Y,0
100036,0,F,N,Y,0
100037,0,F,N,N,0
100039,0,F,Y,N,1
100040,0,F,N,Y,0
100041,0,F,N,N,0
100043,0,F,N,Y,2
100044,0,F,N,Y,0
100045,0,M,N,Y,0
100046,0,F,Y,Y,0
100047,1,F,N,Y,0
100048,0,F,N,Y,0
100049,1,F,N,N,0
100050,0,F,N,Y,0
100051,0,F,N,Y,0
100052,0,F,N,Y,1
100053,0,F,N,Y,0
100054,0,F,N,Y,0
100055,0,F,N,N,0
100056,0,F,Y,Y,0
100059,0,F,Y,Y,1
100060,0,M,Y,N,0
100061,0,F,N,Y,2
100062,0,F,Y,N,0
100063,0,F,N,Y,0
100064,0,F,N,N,0
100068,0,F,N,Y,0
100069,0,F,Y,Y,1
100070,0,F,Y,Y,0
100071,0,F,N,Y,0
100072,0,F,N,N,0
100073,0,F,Y,Y,0
100075,0,F,N,N,0
100077,0,F,N,Y,0
100078,0,M,Y,Y,0
100079,0,F,N,Y,0
100080,0,M,N,N,1
100081,0,F,Y,N,0
100082,0,M,N,N,2
100083,0,F,Y,Y,0
100084,0,M,N,Y,2
100085,0,F,N,Y,1
100086,0,F,N,Y,1
100087,0,F,N,Y,1
100088,0,F,N,N,0
100089,0,F,N,Y,0
100093,0,F,N,Y,1
100094,0,F,N,Y,0
100095,0,F,N,Y,2
100097,0,F,Y,Y,0
100098,0,F,Y,N,0
100099,0,F,N,Y,0
100100,0,F,Y,Y,2
100101,0,F,Y,Y,0
100103,0,F,N,Y,0
100104,0,M,N,Y,0
100105,0,F,N,Y,0
100108,0,F,N,Y,3
100110,0,F,Y,Y,3
100111,0,F,Y,N,1
100112,1,F,Y,Y,0
100113,0,F,Y,N,0
100114,0,F,N,Y,0
100115,0,F,N,N,0
100116,0,M,N,Y,0
100118,0,F,N,Y,0
100119,0,F,N,Y,0
100120,0,F,N,N,0
100121,0,F,N,Y,0
100122,0,M,N,N,1
100123,0,F,N,N,0
100124,0,F,N,Y,0
100125,0,F,N,N,0
100126,0,F,N,Y,2
100127,0,F,N,Y,0
100130,1,F,N,Y,1
100131,0,M,N,Y,0
100132,0,F,N,Y,0
100133,0,F,N,N,0
100135,0,F,N,Y,0
100136,0,M,Y,N,1
100137,0,F,Y,Y,0
100138,0,M,Y,N,0
100139,0,F,N,N,1
100142,0,F,Y,Y,1
100143,0,M,N,Y,0
100144,0,F,N,N,0
100145,0,F,Y,Y,1
100146,0,F,Y,Y,0
100147,0,F,N,Y,1
100148,0,F,N,Y,0
100149,0,F,Y,N,0
100151,0,F,N,N,0
100152,0,F,N,Y,0
100153,0,F,Y,Y,0
100154,0,F,N,N,0
100155,0,F,N,N,0
100156,0,F,Y,N,2
100157,0,F,N,Y,0
100158,0,F,N,N,0
100159,0,F,N,Y,0
100160,1,F,N,Y,0
100161,0,F,N,Y,0
100162,0,M,N,Y,0
100163,0,F,N,Y,0
100164,0,F,Y,N,1
100165,0,M,Y,Y,0
100166,0,M,N,Y,3
100167,0,F,N,Y,0
100173,0,F,N,N,0
100174,0,M,N,Y,2
100175,0,F,N,Y,1
100176,0,M,N,Y,0
100177,0,F,N,N,1
100178,0,M,N,Y,0
100179,0,F,Y,N,0
100180,0,F,N,Y,1
100181,1,F,N,Y,0
100182,0,M,N,Y,1
100183,0,M,N,Y,0
100185,0,F,N,Y,0
100186,0,F,N,Y,0
100188,0,F,N,N,1
100189,0,F,N,Y,0
100190,0,F,Y,N,0
100191,0,F,N,Y,0
100193,0,M,Y,N,0
100194,0,M,N,Y,2
100196,0,F,Y,Y,0
100197,0,F,N,N,2
100198,0,F,Y,Y,1
100199,0,F,N,Y,0
100200,0,F,N,N,0
100201,0,F,N,Y,1
100202,0,F,N,N,0
100204,0,F,N,Y,1
100205,0,F,N,Y,0
100206,0,M,Y,N,1
100207,0,F,N,Y,0
100208,0,F,N,N,1
100209,1,F,N,Y,3
100210,0,F,N,Y,1
100211,0,F,N,N,3
100213,0,F,N,N,2
100214,1,M,N,Y,1
100215,0,F,Y,N,0
100216,0,F,N,N,0
100217,0,F,N,N,0
100218,0,F,Y,Y,0
100219,0,F,N,Y,1
100220,0,F,N,Y,0
100221,0,F,N,Y,0
100224,0,F,Y,Y,2
100225,0,M,Y,N,2
100226,0,F,N,N,2
100227,0,F,N,N,0
100228,0,F,N,N,1
100229,0,F,N,Y,0
100230,0,F,N,N,0
100231,0,F,Y,Y,1
100233,0,F,N,Y,0
100234,0,F,N,N,0
100235,0,F,N,Y,0
100237,0,F,N,N,2
100238,0,F,Y,Y,2
100239,0,F,N,Y,1
100240,0,F,N,Y,2
100242,0,F,Y,Y,0
100243,0,M,N,Y,0
100244,0,M,N,N,1
100246,1,F,N,Y,0
100247,0,F,N,Y,0
100248,0,F,N,Y,0
100249,0,F,N,Y,2
100250,0,F,Y,N,1
100251,0,F,Y,Y,0
100252,0,F,N,Y,0
100254,0,F,Y,Y,0
100255,0,M,Y,Y,0
100257,0,F,N,Y,0
100258,0,M,N,Y,0
100259,0,F,Y,Y,0
100260,0,F,N,Y,0
100261,0,F,N,Y,0
100262,0,M,Y,Y,0
100263,0,F,N,Y,0
100264,0,F,N,Y,0
100265,0,M,N,Y,0
100266,0,F,N,N,0
100267,0,F,N,Y,0
100268,0,F,N,N,0
100269,0,F,N,Y,0
100270,0,F,N,Y,0
100272,0,F,N,Y,1
100273,1,F,N,Y,0
100274,0,F,Y,Y,0
100275,0,F,Y,Y,0
100276,0,F,Y,Y,0
100277,0,F,Y,N,0
100279,0,M,N,Y,0
100281,0,F,N,Y,1
100283,0,F,N,Y,0
100284,0,F,Y,Y,2
100285,0,F,N,Y,0
100286,1,F,Y,Y,1
100287,0,F,N,Y,0
100288,0,F,N,N,0
100289,0,F,Y,N,0
100290,0,F,N,N,0
100291,0,M,N,N,1
100292,0,F,N,Y,0
100293,0,F,N,Y,0
100294,0,M,N,Y,0
100296,0,F,N,Y,1
100297,0,F,Y,N,0
100298,0,M,N,Y,0
100299,0,F,N,Y,0
100300,1,F,N,N,0
100301,1,F,N,Y,1
100302,0,F,N,Y,0
100303,0,M,N,Y,0
100304,0,F,N,Y,0
100305,0,F,Y,Y,0
100307,0,F,N,Y,0
100308,0,F,N,N,0
100309,0,F,N,Y,0
100310,0,F,N,N,0
100313,0,M,N,Y,0
100314,0,M,N,N,2
100315,0,F,Y,Y,1
100316,0,M,N,Y,0
100317,0,F,N,Y,0
100319,0,M,N,Y,1
100320,0,F,Y,Y,0
100321,0,F,Y,N,1
100322,0,M,Y,Y,2
100323,0,F,Y,Y,0
100324,0,M,Y,Y,1
100325,0,F,N,Y,0
100326,1,F,Y,Y,0
100327,0,F,Y,Y,0
100328,0,F,N,N,1
100329,0,M,Y,Y,0
100332,0,F,N,Y,0
100333,0,F,N,Y,0
100334,0,F,N,Y,0
100335,0,F,N,Y,0
100336,1,F,Y,Y,0
100337,0,M,N,Y,0
100338,0,F,N,N,0
100339,0,F,N,Y,0
100340,0,F,N,N,2
100341,0,F,Y,Y,0
100342,0,M,N,N,0
100343,0,M,Y,Y,0
100344,0,M,N,N,0
100345,0,M,N,N,0
100346,0,F,N,Y,0
100347,0,F,N,N,0
100349,0,F,N,N,0
100350,0,F,N,Y,0
100351,0,F,N,N,0
100353,0,F,N,Y,0
100354,0,F,N,Y,1
100355,0,F,N,Y,0
100356,0,F,N,Y,0
100357,0,F,N,Y,0
100359,0,F,Y,Y,1
100360,0,F,N,N,0
100361,0,F,N,Y,0
100362,0,F,N,Y,1
100363,0,F,Y,Y,1
100364,0,F,N,N,0
100365,0,M,N,Y,0
100368,0,F,N,Y,0
100369,0,F,N,Y,0
100370,0,F,N,Y,0
100371,0,F,Y,Y,1
100372,0,F,N,N,0
100373,0,F,N,N,0
100374,0,F,Y,Y,2
100375,0,F,N,Y,0
100376,0,F,Y,Y,0
100377,0,F,N,N,2
100378,0,F,Y,Y,1
100379,0,F,Y,Y,0
100380,0,F,N,Y,0
100381,0,F,N,N,0
100383,0,F,Y,N,2
100387,0,F,Y,Y,2
100388,0,F,N,Y,0
100389,0,F,Y,Y,0
100391,0,F,N,Y,1
100392,0,F,Y,N,2
100393,0,F,Y,Y,2
100394,0,F,N,Y,0
100395,0,F,Y,Y,0
100396,1,F,N,N,0
100397,0,F,N,Y,0
100398,0,F,N,Y,0
100400,0,F,N,N,0
100401,1,F,N,Y,0
100402,0,M,N,Y,0
100403,0,F,Y,Y,0
100405,0,F,Y,Y,0
100406,0,F,N,Y,0
100407,0,F,N,N,0
100408,0,F,N,Y,0
100409,0,F,N,Y,0
100410,0,F,Y,N,0
100411,0,F,Y,N,1
100412,0,F,Y,Y,2
100413,0,M,N,Y,0
100414,0,F,N,Y,0
100415,0,M,N,Y,2
100417,0,F,N,Y,0
100418,0,F,N,N,0
100419,0,M,N,Y,0
100420,0,F,N,Y,3
100421,0,F,Y,N,0
100423,0,F,Y,Y,0
100424,1,M,N,Y,0
100425,0,F,Y,Y,2
100427,0,F,N,N,1
100428,0,F,Y,Y,0
100429,0,F,N,Y,0
100430,0,F,N,Y,1
100431,0,F,N,Y,1
100432,0,F,N,N,0
100433,0,F,N,Y,1
100434,0,M,N,Y,1
100435,0,F,N,Y,0
100436,0,F,N,Y,0
100437,0,M,N,Y,1
100439,1,F,N,Y,0
100440,0,M,N,Y,0
100441,0,F,N,Y,0
100442,0,M,N,N,0
100443,0,M,N,Y,0
100448,0,M,N,Y,2
100449,0,F,N,Y,0
100451,0,F,N,Y,0
100452,1,F,N,Y,1
100453,0,F,Y,N,2
100455,0,F,Y,Y,2
100456,0,M,Y,Y,1
100457,0,F,Y,Y,0
100458,0,M,N,N,0
100459,0,F,Y,Y,0
100461,0,F,Y,Y,0
100462,0,F,N,N,0
100463,0,F,N,N,0
100464,0,M,N,N,0
100465,0,F,N,N,0
100468,0,M,Y,N,0
100470,0,F,Y,Y,0
100471,0,F,Y,Y,1
100472,1,F,Y,Y,1
100473,0,F,Y,Y,0
100475,0,F,Y,Y,0
100476,0,F,Y,Y,1
100477,1,F,Y,Y,1
100478,0,F,N,Y,1
100479,0,F,Y,Y,0
100480,0,F,N,N,0
100481,0,F,Y,Y,0
100482,0,F,Y,Y,0
100485,1,F,Y,N,1
100486,0,M,N,Y,0
100487,0,M,Y,N,0
100489,0,F,N,Y,0
100490,1,F,N,N,0
100491,0,F,Y,N,0
100492,0,M,N,Y,3
100493,0,F,Y,Y,0
100495,0,F,Y,N,1
100496,0,F,N,Y,0
100497,0,F,N,Y,0
100498,0,F,N,Y,0
100499,0,F,Y,Y,0
100500,0,F,N,N,0
100502,0,F,Y,Y,0
100503,0,F,N,Y,0
100504,0,F,N,Y,0
100505,0,F,Y,Y,3
100506,0,F,Y,Y,0
100507,0,F,N,N,1
100508,0,M,Y,Y,0
100509,0,M,N,Y,0
100511,0,F,N,N,0
100513,0,F,N,Y,0
100514,0,F,N,Y,0
100515,0,M,N,Y,0
100516,0,M,N,N,0
100518,0,M,N,Y,0
100519,0,M,N,N,0
100520,0,F,N,Y,0
100521,0,M,N,N,0
100522,0,F,Y,Y,1
100523,0,F,Y,Y,0
100524,0,M,N,Y,0
100525,0,F,N,Y,0
100526,0,F,Y,N,1
100527,0,F,N,N,0
100528,0,F,N,Y,1
100529,0,M,N,Y,0
100530,0,F,Y,Y,0
100531,0,F,Y,Y,2
100532,0,F,Y,Y,0
100533,0,F,N,Y,0
100534,0,F,N,N,0
100535,0,F,Y,N,0
100536,0,F,Y,Y,2
100537,0,F,N,Y,1
100538,0,M,Y,N,1
100539,0,F,N,Y,0
100540,1,F,N,Y,1
100541,1,M,Y,N,2
100542,0,F,N,Y,0
100543,0,M,N,Y,0
100545,0,F,N,Y,0
